Original_x,Optimal_x,Cost,Objective,Runtime,Slack_income,slack_credit,Slack_ca,Slack_la
"[4.0, 1.0, 1.0, 5200000.0, 11400000.0, 10.0, 406.0, 14700000.0, 2000000.0, 13000000.0, 4400000.0]","[4.00000e+00 1.00000e+00 1.00000e+00 3.49995e+04 1.14000e+07 5.00000e+00
 5.99500e+02 2.80000e+06 9.95000e+01 9.99500e+02 8.00000e+05]",2,2,0.0352230072021484,0.5,0.5,0.5,0.5
"[1.0, 0.0, 0.0, 5100000.0, 11800000.0, 12.0, 314.0, 14700000.0, 7600000.0, 12400000.0, 4900000.0]","[1.00000e+00 0.00000e+00 0.00000e+00 3.49995e+04 1.18000e+07 5.00000e+00
 5.99500e+02 2.80000e+06 9.95000e+01 9.99500e+02 8.00000e+05]",2,2,0.0407578945159912,0.5,0.5,0.5,0.5
"[2.0, 0.0, 0.0, 1700000.0, 3700000.0, 20.0, 558.0, 4100000.0, 1400000.0, 5000000.0, 2500000.0]","[2.00000000e+00 0.00000000e+00 0.00000000e+00 3.49996550e+04
 3.70000000e+06 5.00000000e+00 5.99654981e+02 2.80000000e+06
 9.96549811e+01 9.99654981e+02 8.00000000e+05]",1.380075553476630,1.380075553476630,0.0603272914886474,0.345018888369157,0.345018888369157,0.345018888369157,0.345018888369157
"[4.0, 1.0, 0.0, 5300000.0, 10700000.0, 12.0, 821.0, 15400000.0, 10200000.0, 17600000.0, 2600000.0]","[4.00000e+00 1.00000e+00 0.00000e+00 3.49995e+04 1.07000e+07 5.00000e+00
 5.99500e+02 2.80000e+06 9.95000e+01 9.99500e+02 8.00000e+05]",2,2,0.0783603191375732,0.5,0.5,0.5,0.5
"[4.0, 0.0, 1.0, 5300000.0, 12000000.0, 10.0, 329.0, 15300000.0, 9300000.0, 17300000.0, 6100000.0]","[4.00000e+00 0.00000e+00 1.00000e+00 3.49995e+04 1.20000e+07 5.00000e+00
 5.99500e+02 2.80000e+06 9.95000e+01 9.99500e+02 8.00000e+05]",2,2,0.0588998794555664,0.5,0.5,0.5,0.5
"[1.0, 0.0, 1.0, 8300000.0, 17700000.0, 10.0, 673.0, 23700000.0, 5300000.0, 28700000.0, 4200000.0]","[1.00000e+00 0.00000e+00 1.00000e+00 3.49995e+04 1.77000e+07 5.00000e+00
 5.99500e+02 2.80000e+06 9.95000e+01 9.99500e+02 8.00000e+05]",2,2,0.0596802234649658,0.5,0.5,0.5,0.5
"[4.0, 0.0, 0.0, 6200000.0, 12400000.0, 20.0, 547.0, 14200000.0, 10800000.0, 17200000.0, 8000000.0]","[4.00000e+00 0.00000e+00 0.00000e+00 3.49995e+04 1.24000e+07 5.00000e+00
 5.99500e+02 2.80000e+06 9.95000e+01 9.99500e+02 8.00000e+05]",2,2,0.0406551361083984,0.5,0.5,0.5,0.5
"[0.0, 0.0, 0.0, 9300000.0, 20300000.0, 14.0, 759.0, 27000000.0, 11600000.0, 26500000.0, 10900000.0]","[0.00000e+00 0.00000e+00 0.00000e+00 3.49995e+04 2.03000e+07 5.00000e+00
 5.99500e+02 2.80000e+06 9.95000e+01 9.99500e+02 8.00000e+05]",2,2,0.0538876056671142,0.5,0.5,0.5,0.5
"[3.0, 1.0, 1.0, 7000000.0, 15400000.0, 20.0, 315.0, 19900000.0, 7600000.0, 16400000.0, 5900000.0]","[3.00000e+00 1.00000e+00 1.00000e+00 3.49995e+04 1.54000e+07 5.00000e+00
 5.99500e+02 2.80000e+06 9.95000e+01 9.99500e+02 8.00000e+05]",2,2,0.0415396690368652,0.5,0.5,0.5,0.5
"[2.0, 1.0, 0.0, 5400000.0, 11900000.0, 6.0, 303.0, 15000000.0, 9200000.0, 15400000.0, 6900000.0]","[2.00000e+00 1.00000e+00 0.00000e+00 3.49995e+04 1.19000e+07 5.00000e+00
 5.99500e+02 2.80000e+06 9.95000e+01 9.99500e+02 8.00000e+05]",2,2,0.0607295036315918,0.5,0.5,0.5,0.5
